city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
khirkiya,in,22,77,30.09,20.0,0.0,1.43
nata,bw,-20,26,15.63,58.0,20.0,5.7
beberibe,br,-4,-38,28.0,83.0,75.0,3.6
hennenman,za,-28,27,6.54,82.0,0.0,1.28
mariestad,se,59,14,0.0,88.0,0.0,0.5
kui buri,th,12,100,33.0,59.0,20.0,2.1
basudebpur,in,21,87,31.09,85.0,0.0,6.48
rabat,ma,34,-7,12.0,87.0,20.0,1.5
valvedditturai,lk,10,80,29.19,96.0,12.0,3.88
korgen,no,66,14,1.0,100.0,92.0,0.5
glubokiy,ru,45,41,11.69,87.0,44.0,5.43
turangi,nz,-39,176,12.39,82.0,0.0,2.23
dinar,tr,38,30,1.35,100.0,0.0,6.2
srednebelaya,ru,51,128,12.0,13.0,0.0,2.0
manzanillo,mx,18,-105,24.64,100.0,32.0,4.03
suileng,cn,47,127,12.54,79.0,0.0,2.08
plouzane,fr,47,-7,10.99,93.0,0.0,2.1
bada,ru,51,110,26.19,64.0,20.0,4.58
turbat,pk,27,64,21.14,36.0,0.0,1.28
kuminskiy,ru,59,67,-4.07,72.0,12.0,1.58
mazara del vallo,it,37,12,11.0,100.0,0.0,2.1
puerto baquerizo moreno,ec,4,-88,25.84,98.0,80.0,3.23
herrin,us,38,-89,16.48,29.0,90.0,5.7
hobart,au,-87,145,21.0,49.0,20.0,3.6
ndjole,ga,0,11,22.99,95.0,20.0,1.68
rastolita,ro,47,25,3.59,86.0,0.0,1.18
gadsden,us,34,-86,18.2,59.0,90.0,2.1
masindi,ug,2,32,18.84,95.0,56.0,1.88
severo-yeniseyskiy,ru,61,94,6.44,97.0,88.0,4.63
sungairaya,id,1,107,28.54,88.0,36.0,1.48
henderson,us,32,-95,25.83,20.0,1.0,3.6
camopi,gf,2,-54,23.49,98.0,20.0,1.23
haldia,in,22,88,32.59,71.0,32.0,5.53
patacamaya,bo,-17,-68,0.74,89.0,20.0,1.53
bodden town,ky,19,-81,27.0,83.0,20.0,4.6
chhabra,in,25,77,27.54,18.0,0.0,2.43
istisu,az,40,46,5.59,96.0,92.0,1.23
claveria,ph,19,121,27.79,84.0,8.0,1.28
abnub,eg,26,26,16.0,77.0,0.0,8.2
kyabram,au,-36,145,23.04,77.0,0.0,1.88
cidreira,br,-37,-44,21.44,91.0,12.0,2.88
conguaco,gt,14,-90,26.24,76.0,0.0,1.13
codo,br,-5,-44,28.49,93.0,12.0,3.83
tignere,cm,8,12,17.99,93.0,44.0,1.33
oga,jp,41,137,24.04,96.0,64.0,4.13
shar,kz,49,82,24.79,92.0,56.0,5.08
lohja,fi,60,24,5.0,75.0,0.0,3.1
antalaha,mg,-16,52,24.49,100.0,92.0,2.58
pindiga,ng,10,11,25.69,70.0,0.0,4.33
nortelandia,br,-14,-57,21.59,85.0,8.0,1.33
manzhouli,cn,48,117,13.79,33.0,20.0,2.88
bahir dar,et,12,36,15.59,46.0,64.0,2.03
troitskoye,ru,53,85,14.34,48.0,0.0,3.93
hecelchakan,mx,20,-90,29.0,74.0,40.0,3.93
svencioneliai,lt,55,26,5.44,71.0,24.0,5.53
lapeer,us,43,-83,6.0,48.0,1.0,2.13
ghauspur,pk,28,69,25.0,38.0,0.0,4.1
almaty,kz,43,77,15.0,51.0,20.0,2.0
petrivka,ua,47,31,12.54,70.0,0.0,5.28
biu,ng,11,12,21.79,65.0,8.0,2.18
kluczbork,pl,51,18,6.94,68.0,0.0,1.33
seka,th,18,104,16.09,81.0,64.0,0.83
cabo rojo,us,17,-68,25.34,100.0,24.0,5.78
cua,ve,10,-67,25.0,83.0,40.0,1.5
eura,fi,61,22,4.0,80.0,80.0,6.2
papetoai,pf,-17,-150,28.0,74.0,40.0,4.1
cabanbanan,ph,10,123,30.09,71.0,12.0,1.43
martin,sk,49,19,19.0,37.0,1.0,3.83
orlovskiy,ru,51,115,8.09,63.0,8.0,7.73
vershino-darasunskiy,ru,53,116,14.04,53.0,0.0,2.08
laje,br,-10,-41,19.09,88.0,32.0,2.78
boffa,gn,10,-14,22.29,96.0,0.0,2.08
nevelsk,ru,47,141,7.0,65.0,40.0,3.0
