Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
-0.527,2018-04-29 02:22:11+00:00,0.677,0.226,0.098,"RT @kazweida: Dear @CNN ,

Stop sending me notifications about the nationalist bullshit our banana republic dictator is spouting to a sea o…",95,@CNN
0.0,2018-04-29 02:22:10+00:00,1.0,0.0,0.0,@CNN  https://t.co/JsgxTh9jMN,96,@CNN
-0.527,2018-04-29 02:22:10+00:00,0.677,0.226,0.098,"RT @kazweida: Dear @CNN ,

Stop sending me notifications about the nationalist bullshit our banana republic dictator is spouting to a sea o…",97,@CNN
-0.422,2018-04-29 02:22:10+00:00,0.882,0.118,0.0,RT @Liberty4Life73: @RealJamesWoods @mkraju @CNN Secret Service just called you out on your lies. Can we expect a correction or just a 🍌? h…,98,@CNN
-0.735,2018-04-29 02:22:10+00:00,0.772,0.228,0.0,"RT @CNN: ""An attack on any journalist is an attack on us all,"" says Margaret Talev, president of the White House Correspondents' Associatio…",99,@CNN
0.44,2018-04-29 02:22:09+00:00,0.838,0.0,0.162,@CNN Good for @realDonaldTrump instead of being with a bunch of idiots he’s with we the people.,100,@CNN
-0.202,2018-04-29 02:23:00+00:00,0.68,0.18,0.141,"@BBCWorld @BBCBreaking @BBC 

Bbc......the hate to hope network.......every person that holds postions in the Soros… https://t.co/PpEWqrSBjD",101,@BBC
0.0,2018-04-29 02:22:58+00:00,1.0,0.0,0.0,"RT @Sitambarsingh1: SaviorOfTheWorld
भारत के एक अदुतीय ग्रेट सन्त का जन्म होगा । उसके ज्ञान के सामने सारे धर्मगुरु नममस्तक होंगे पहले उसका…",102,@BBC
0.0,2018-04-29 02:22:40+00:00,1.0,0.0,0.0,"RT @Sitambarsingh1: #SaviorOfTheWorld
सन्त रामपाल जी महाराज जी के बारे में जयगुरुदेव पंथ के प्रवर्तक श्री तुलसीदास जी मथुरा वाले सटीक भविष्…",103,@BBC
-0.128,2018-04-29 02:22:26+00:00,0.943,0.057,0.0,RT @EvaSoumble: #Skripal We should all bombard the @BBC to demand to know if there is a D-notice on the Skripal case. They may not answer b…,104,@BBC
0.0,2018-04-29 02:21:57+00:00,1.0,0.0,0.0,"RT @Sitambarsingh1: #SaviorOfTheWorld
सन्त रामपाल जी महाराज जी के बारे में जयगुरुदेव पंथ के प्रवर्तक श्री तुलसीदास जी मथुरा वाले सटीक भविष्…",105,@BBC
0.0,2018-04-29 02:21:51+00:00,1.0,0.0,0.0,"#SaviorOfTheWorld
सन्त रामपाल जी महाराज जी के बारे में जयगुरुदेव पंथ के प्रवर्तक श्री तुलसीदास जी मथुरा वाले सटीक भ… https://t.co/4SbRYJumnG",106,@BBC
0.0,2018-04-29 02:21:48+00:00,1.0,0.0,0.0,"RT @BBC: 😱😱😱 South Korean boy band @BTS_twt have announced a mammoth world tour which includes two UK dates!!! #BTS
👉 https://t.co/pZtnOw92…",107,@BBC
0.296,2018-04-29 02:21:25+00:00,0.896,0.0,0.104,"RT @anita_namdev: Sant rampalji maharaj is complete spiritual knowledge teacher, because they tell us worship according to all holly script…",108,@BBC
-0.612,2018-04-29 02:21:14+00:00,0.704,0.218,0.077,"RT @HumanRightsTR: HALIME GULSU arrested at Mersin, Turkiye on 20 Feb 2018. She has been suffering rare immune system disease and has been…",109,@BBC
